# -*- coding: utf-8 -*-
"""
Created on Fri Jan 20 10:46:33 2017

@author: KANHAIYA
"""

#####Regions#####
Highlands
Speyside
Highlands
Islay
Highlands
Islands
Lowlands
Speyside
Speyside
Highlands
Speyside
Speyside
Highlands
Speyside
Speyside
Speyside
Lowlands
Highlands
Islay
Islay
Islay
Islay
Speyside
Highlands
Speyside
Speyside
Speyside
Highlands
Highlands
Highlands
Speyside
Highlands
Speyside
Speyside
Highlands
Speyside
Speyside
Speyside
Highlands
Campbelltown
Speyside
Speyside
Highlands
Speyside
Speyside
Speyside
Highlands
Lowlands
Speyside
Speyside
Highlands
Speyside
Highlands
Islands
Speyside
Islands
Speyside
Islay
Islay
Speyside
Highlands
Speyside
Speyside
Speyside
Speyside
Speyside
Highlands
Highlands
Highlands
Speyside
Highlands
Islands
Speyside
Speyside
Campbelltown
Speyside
Speyside
Islands
Speyside
Speyside
Highlands
Islands
Highlands
Speyside
Speyside
Highlands
